,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
IRR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,42047.9013
ISK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,140.2253
JEP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.7993
JMD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,156.0983
JOD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.709
JPY,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,157.3776
KES,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,134.6947
KGS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,88.9698
KHR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,4052.9607
KID,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,1.5406
KMF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,460.4404
KRW,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,1382.9706
KWD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.308
KYD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.8333
KZT,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,441.8214
LAK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,21534.1155
LBP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,89500.0
LKR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,297.4995
LRD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,193.736
LSL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,18.7559
LYD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,4.8627
MAD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,10.1006
MDL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,17.685
MGA,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,4429.7373
